Station ,2011,2012,2013,2014,2015,2016,Borough
138 St-Grand Concourse ,3076,3183,3222,3416,3480,3532,Bronx
149 St-Grand Concourse ,13422,13599,14380,14576,14465,14460,Bronx
161 St-Yankee Stadium ,26631,27604,26972,27541,27020,26947,Bronx
167 St ,9351,9699,9904,9793,9923,9972,Bronx
167 St ,9054,9264,9374,9906,10166,10439,Bronx
170 St ,9259,9518,9525,9403,9507,9514,Bronx
170 St ,6155,6303,6563,6988,7101,7225,Bronx
174 St ,7049,7018,7339,7599,7619,7690,Bronx
174-175 Sts ,4660,4706,4885,5301,5312,5519,Bronx
176 St ,5383,5623,5905,5914,6160,6378,Bronx
182-183 Sts ,4546,4507,4554,4813,5020,5177,Bronx
183 St ,6162,6319,6360,6356,6372,6443,Bronx
219 St ,3337,3413,3483,3544,3529,3423,Bronx
225 St ,4346,4469,4479,4593,4591,4408,Bronx
231 St ,9170,9187,8951,9372,9596,9749,Bronx
233 St ,5379,5388,5473,5701,5632,5438,Bronx
238 St ,3019,3612,3598,3934,4068,4350,Bronx
3 Av-138 St ,7238,7326,7667,7951,7994,8008,Bronx
3 Av-149 St ,24022,24580,24001,25161,24813,24808,Bronx
Allerton Av ,5193,5389,5526,5737,5779,5530,Bronx
Baychester Av ,3840,3980,4177,4196,4090,4064,Bronx
Bedford Park Blvd ,6150,6183,6303,6645,7046,7236,Bronx
Bedford Park Blvd-Lehman College ,6052,6034,6201,6089,6040,5912,Bronx
Bronx Park East ,2757,2811,2959,3005,2868,2785,Bronx
Brook Av ,6073,6113,6186,6312,6244,6226,Bronx
Buhre Av ,3315,3418,3718,2155,2237,3568,Bronx
Burke Av ,3387,3491,3612,3672,3644,3550,Bronx
Burnside Av ,11243,11387,11560,11538,11551,11479,Bronx
Castle Hill Av ,7540,7567,5632,4938,7174,6895,Bronx
Cypress Av ,3701,3636,3842,3984,3974,4099,Bronx
East 143 St-St Mary's St ,941,973,911,927,989,1043,Bronx
East 149 St ,4336,4486,4580,4619,4647,4861,Bronx
East 180 St ,6518,6832,7003,7489,7587,7697,Bronx
Eastchester-Dyre Av ,4603,4765,4948,4948,4845,4769,Bronx
Elder Av ,2240,6161,6377,6496,6543,6642,Bronx
Fordham Rd ,12330,12560,12558,12231,11982,11957,Bronx
Fordham Rd ,11465,11521,11878,12363,12145,12208,Bronx
Freeman St ,4382,4569,4762,4867,4899,5055,Bronx
Gun Hill Rd ,7045,7212,7339,7752,7790,7714,Bronx
