Station ,2011,2012,2013,2014,2015,2016,Borough
138 St-Grand Concourse ,2526,2648,2540,3017,3136,3123,Bronx
149 St-Grand Concourse ,14022,13024,14202,15326,13683,12797,Bronx
161 St-Yankee Stadium ,34258,35820,35071,36176,36969,35171,Bronx
167 St ,11089,11188,10176,10417,11942,11579,Bronx
167 St ,11956,11924,12887,13220,12890,12775,Bronx
170 St ,11081,10952,9768,9960,11398,11161,Bronx
170 St ,7788,8324,9216,9490,8737,8633,Bronx
174 St ,6817,7210,7907,8003,6797,8183,Bronx
174-175 Sts ,5651,5833,6499,6777,6271,6280,Bronx
176 St ,6484,6508,6067,6217,7318,7459,Bronx
182-183 Sts ,6135,5807,6617,6939,6660,6574,Bronx
183 St ,7591,7588,6967,7056,7944,7786,Bronx
219 St ,3367,3827,3889,4056,3837,3200,Bronx
225 St ,4246,4838,4754,5043,4935,4403,Bronx
231 St ,7274,9704,8676,9568,9480,9561,Bronx
233 St ,5277,5971,5956,6434,6007,5501,Bronx
238 St ,2477,3716,3199,3801,3719,3977,Bronx
3 Av-138 St ,8134,8670,9026,9364,9113,8543,Bronx
3 Av-149 St ,20811,25356,21890,24819,19003,23393,Bronx
Allerton Av ,5164,6242,6231,6741,6388,5889,Bronx
Baychester Av ,2368,3032,3111,2132,1683,1343,Bronx
Bedford Park Blvd ,6478,7039,8072,8213,7377,7234,Bronx
Bedford Park Blvd-Lehman College ,5545,5303,5062,5093,6026,5618,Bronx
Bronx Park East ,2285,2880,2953,3063,2679,2391,Bronx
Brook Av ,7487,6742,7191,7198,7126,6850,Bronx
Buhre Av ,2742,2837,3038,1614,1672,2540,Bronx
Burke Av ,3195,3900,3902,4090,3866,3531,Bronx
Burnside Av ,12390,12070,11259,11310,12829,12611,Bronx
Castle Hill Av ,7832,7956,5918,4238,6317,6217,Bronx
Cypress Av ,3713,3445,3803,3870,3941,4015,Bronx
East 143 St-St Mary's St ,768,771,768,788,854,872,Bronx
East 149 St ,5173,5132,5340,5195,5402,5094,Bronx
East 180 St ,9549,7154,6753,9919,8065,10226,Bronx
Eastchester-Dyre Av ,2543,3212,3334,2193,1697,1377,Bronx
Elder Av ,2675,7207,7638,7860,7534,7700,Bronx
Fordham Rd ,15418,14757,13711,13567,15423,14781,Bronx
Fordham Rd ,14161,14157,15697,16208,14902,14201,Bronx
Freeman St ,4302,4540,4994,5044,4463,5434,Bronx
Gun Hill Rd ,7100,7899,7985,9233,8528,9261,Bronx
Gun Hill Rd ,3803,4910,4825,3240,2489,2079,Bronx
Hunts Point Av ,10510,11168,10574,10352,11670,10136,Bronx
Intervale Av ,2698,2853,3239,3388,2832,3435,Bronx
Jackson Av ,5038,4578,5497,5780,5063,6071,Bronx
Kingsbridge Rd ,10902,10587,9915,9927,10965,10531,Bronx
Kingsbridge Rd ,8236,8373,9193,9756,8995,8903,Bronx
Longwood Av ,3659,3589,3635,3640,3692,3365,Bronx
Middletown Rd ,1346,1372,1039,1528,1879,1315,Bronx
Morris Park ,994,1255,1268,874,679,779,Bronx
Morrison Av-Soundview ,10882,7494,7664,7810,7447,7520,Bronx
Mosholu Pkwy ,9738,9261,8681,8721,9816,9256,Bronx
Mt Eden Av ,6519,6444,5851,5899,6623,6435,Bronx
Nereid Av ,2849,3396,3841,3725,3501,3188,Bronx
Norwood-205 St ,9120,9025,9562,10155,10070,9797,Bronx
Parkchester ,16757,16260,18063,19613,18457,17932,Bronx
Pelham Bay Park ,6571,6516,6804,7778,8134,6733,Bronx
Pelham Pkwy ,8269,10246,10637,11322,10586,10022,Bronx
Pelham Pkwy ,1361,1746,1673,1210,944,858,Bronx
Prospect Av ,6950,6521,7683,8085,6935,8587,Bronx
Simpson St ,9372,9045,10310,10690,9234,10504,Bronx
St Lawrence Av ,1780,4537,4805,4970,4633,4776,Bronx
Tremont Av ,9987,10412,11386,12001,11209,10921,Bronx
Wakefield-241 St,5508,6195,5443,6451,6094,6069,Bronx
West Farms Sq-East Tremont Av ,7785,8494,8803,8875,7230,8447,Bronx
Westchester Sq-East Tremont Av ,5557,5512,5674,5619,5464,4784,Bronx
Whitlock Av ,2422,1857,1933,2002,1864,1913,Bronx
Woodlawn ,9240,8577,8125,7686,8724,8010,Bronx
Zerega Av,2380,2523,2885,1576,1327,2080,Bronx
15 St-Prospect Park ,4529,6358,6658,6651,7103,6272,Brooklyn
18 Av ,4498,4960,7057,7032,6073,6681,Brooklyn
18 Av ,4347,4328,4398,4465,4663,3787,Brooklyn
18 Av ,8144,8083,6296,6865,6996,2602,Brooklyn
20 Av ,4197,4287,5658,5621,5252,5656,Brooklyn
20 Av ,3682,4060,4026,3946,3701,1176,Brooklyn
25 Av ,3586,3530,4536,5053,4827,6064,Brooklyn
25 St ,4597,4430,4500,4895,4434,4071,Brooklyn
36 St ,14140,14459,13945,14553,16290,16191,Brooklyn
4 Av ,15860,17155,15869,15711,15860,14654,Brooklyn
45 St ,9108,8898,8689,8938,8620,7805,Brooklyn
50 St ,2373,2648,3233,3102,2672,2902,Brooklyn
53 St ,8957,8897,8842,9007,8678,8148,Brooklyn
55 St ,1460,1445,1824,1767,1525,1758,Brooklyn
59 St ,14213,14029,14372,14966,15344,14917,Brooklyn
7 Av ,9430,8739,9483,9492,9731,8581,Brooklyn
7 Av ,12705,12271,14456,14246,13202,12325,Brooklyn
71 St ,2895,3398,5314,5271,4808,6732,Brooklyn
77 St ,4630,5040,5208,5509,5448,5247,Brooklyn
79 St ,4075,4500,6358,6504,5856,6494,Brooklyn
8 Av ,14903,16292,16484,17434,15960,17252,Brooklyn
86 St ,3017,3159,2934,3090,3023,1578,Brooklyn
86 St ,11655,12582,12819,13178,12889,12263,Brooklyn
9 Av ,4906,5531,7383,7466,6372,6541,Brooklyn
Alabama Av ,2818,2844,2687,2948,3163,3206,Brooklyn
Atlantic Av-Barclays Ctr ,42885,47970,54754,55601,54221,53638,Brooklyn
Atlantic Av ,1124,1326,1474,1752,1267,1179,Brooklyn
Avenue H ,1522,2632,2669,2584,2506,2590,Brooklyn
Avenue I ,2100,2046,2146,2236,1874,1529,Brooklyn
Avenue J ,6234,5679,5994,5528,5782,5524,Brooklyn
Avenue M ,3032,4030,4429,4111,4345,4246,Brooklyn
Avenue N ,3124,2983,3202,3282,2888,2320,Brooklyn
Avenue P ,2768,2703,2899,2909,2628,2244,Brooklyn
Avenue U ,2407,2408,2429,2483,1715,2080,Brooklyn
Avenue U ,5132,5533,4745,4915,4767,1795,Brooklyn
Avenue U ,7398,7233,8015,7500,8322,8188,Brooklyn
Avenue X ,2598,2589,2783,2999,1817,1988,Brooklyn
Bay 50 St ,2333,2168,2492,2784,2575,2960,Brooklyn
Bay Pkwy ,6154,6444,8927,9097,8350,9471,Brooklyn
Bay Pkwy ,1465,1518,1578,1690,1476,1232,Brooklyn
Bay Pkwy ,8443,9107,8457,8808,8609,11631,Brooklyn
Bay Ridge Av ,8183,8618,8590,8967,9001,8719,Brooklyn
Bay Ridge-95 St ,5227,5700,5692,5837,5730,5510,Brooklyn
Bedford Av ,37721,43891,49553,54863,45740,49479,Brooklyn
Bedford-Nostrand Avs ,7397,8239,9008,9798,10057,9815,Brooklyn
Bergen St ,4154,5126,4825,4381,4384,4433,Brooklyn
Bergen St ,11969,12573,13031,14118,14243,12161,Brooklyn
Beverley Rd ,3453,3198,2561,2787,2967,3183,Brooklyn
Beverly Rd ,4047,4061,4569,4176,4699,4376,Brooklyn
Brighton Beach ,12484,12461,12912,12524,13763,13137,Brooklyn
Broadway ,3430,3737,3905,4261,5368,5292,Brooklyn
Broadway Junction ,12382,12206,12707,12553,14361,13638,Brooklyn
Bushwick Av-Aberdeen St ,1266,1533,1945,2477,2198,2470,Brooklyn
Canarsie-Rockaway Pkwy ,11142,12063,12617,13478,10709,9961,Brooklyn
Carroll St ,10628,12155,11838,11587,11821,10034,Brooklyn
Central Av ,2805,2387,1082,2472,3596,3080,Brooklyn
Chauncey St ,3853,3751,3323,3345,4231,4309,Brooklyn
Church Av ,9791,9543,10381,9375,10219,9569,Brooklyn
Church Av ,16205,17733,20399,18797,21472,18017,Brooklyn
Church Av ,11251,10593,11927,12224,12511,13332,Brooklyn
Clark St ,6134,7615,8326,8599,9018,9083,Brooklyn
Cleveland St ,3724,3856,3699,4104,4119,3945,Brooklyn
Clinton-Washington Avs ,6939,7056,7642,6753,7011,7119,Brooklyn
Clinton-Washington Avs ,5790,6301,6097,6170,6501,5585,Brooklyn
Coney Island-Stillwell Av ,22652,23981,23726,26733,27415,25961,Brooklyn
Cortelyou Rd ,7409,7241,6294,6328,6892,6666,Brooklyn
Court St ,27191,27299,28081,28947,28593,25365,Brooklyn
Crescent St ,6065,6335,5804,6020,6122,5999,Brooklyn
Crown Heights-Utica Av ,27187,28918,26704,27343,33065,29939,Brooklyn
Cypress Hills ,1297,1148,1236,1517,1503,1447,Brooklyn
DeKalb Av ,14066,14327,15046,16016,15096,15729,Brooklyn
DeKalb Av ,11531,13534,13823,16197,15430,16098,Brooklyn
Ditmas Av ,4265,4260,4813,4728,3113,2789,Brooklyn
East 105 St ,3022,3256,3466,3679,3041,2961,Brooklyn
Eastern Pkwy-Brooklyn Museum ,6398,7038,7794,7835,7943,7107,Brooklyn
Euclid Av ,10104,10455,12329,11016,12954,12563,Brooklyn
Flatbush Av-Brooklyn College ,16775,16452,17982,16274,17805,16443,Brooklyn
Flushing Av ,1810,2091,2256,2529,2716,2700,Brooklyn
Flushing Av ,9773,9803,9788,9012,10573,9328,Brooklyn
Fort Hamilton Pkwy ,3206,3145,4101,4258,3832,4002,Brooklyn
Fort Hamilton Pkwy ,3809,4843,5153,5345,5908,5608,Brooklyn
Fort Hamilton Pkwy ,6942,7419,7454,7885,7072,1809,Brooklyn
Franklin Av ,17405,19949,20269,24479,19326,17730,Brooklyn
Franklin Av ,7998,8279,8478,8633,8996,8274,Brooklyn
Fulton St ,4472,5363,5702,6274,7089,6288,Brooklyn
Gates Av ,7362,7464,6685,7100,8053,7937,Brooklyn
Graham Av ,10308,11215,11089,12774,11396,11996,Brooklyn
